contraction,separate
shouldn't,should not
couldn't,could not
mightn't,might not
oughtn't,ought not
wouldn't,would not
shouldnt,should not
doesn't,does not
haven't,have not
mustn't,must not
needn't,need not
weren't,were not
couldnt,could not
mightnt,might not
oughtnt,ought not
wouldnt,would not
aren't,are not
didn't,did not
hadn't,had not
hasn't,has not
shan't,shall not
wasn't,was not
doesnt,does not
havent,have not
mustnt,must not
neednt,need not
werent,were not
ain't,am not
can't,can not
don't,do not
isn't,is not
won't,will not
arent,are not
didnt,did not
hadnt,had not
hasnt,has not
shant,shall not
wasnt,was not
aint,am not
cant,can not
dont,do not
isnt,is not
wont,will not